kitob_id,kitob_nomi,muallif,kategoriya,tavsif,til,nashr_yili,muqova_rasmi_url,kitob_sahifasi_url,pdf_yuklab_olish_url,tur,daraja,sahifalar_soni,reyting,yaratilgan
148036,Бачадон ичи ҳомила инфекцияларини ташхислаш ва даволашни такомиллаштириш.,Ильясов Азизбек Бахтиярович,Tibbiyot va farmasevtika,"Тадқиқотнинг мақсади бачадон ичи ҳомила инфекциясини эрта 
ташхислаш ва даволаш учун ишлаб чиқилган модификацияланган 
технологиянинг самарадорлиги ва хавфсизлигини ўрганишдан иборат.",Rus,2026,https://api.ziyonet.uz/images/default/default_cover.png,https://library.ziyonet.uz/book/148036,https://api.ziyonet.uz/uploads/books/10012851/p50TAlNmEGuZhuW.pdf,Avtoreferat,Oliy o‘quv yurtidan keyingi ta‘lim,52,0.0,20.07.2026
148035,Одатланган ҳомиладорликни кўтара олмасликда эндометрийнинг морфофункционал хусусиятлари.,Ахророва Шахноза Отабек қизи,Tibbiyot va farmasevtika,"Тадқиқотнинг мақсади қалқонсимон без гипофункцияси бўлган 
аёлларда одатланган ҳомиладорликни кўтара олмаслик билан боғлиқ 
эндометрий рецептивлигининг асосий морфофункционал хусусиятларини 
аниқлашдан иборат.",Rus,2026,https://api.ziyonet.uz/images/default/default_cover.png,https://library.ziyonet.uz/book/148035,https://api.ziyonet.uz/uploads/books/10012851/ExfaL2yIw9uzfyO.pdf,Avtoreferat,Oliy o‘quv yurtidan keyingi ta‘lim,52,0.0,20.07.2026
148034,Yuqori likvidli va monopol mahsulotlar bozorini tartibga solishning moliyaviykredit mexanizmini takomillashtirish.,Ummatov Bekzod Xamzayevich,Iqtisod va boshqaruv,"Tadqiqotning maqsadi Yuqori likvidli va monopol mahsulotlar bozorini tartibga solishning moliyaviy-kredit mexanizmini takomillashtirishga qaratilgan 
taklif va tavsiyalar ishlab chiqishdan iborat.",O'zbek,2026,https://api.ziyonet.uz/images/default/default_cover.png,https://library.ziyonet.uz/book/148034,https://api.ziyonet.uz/uploads/books/10012851/0LVAKGYm0qf25By.pdf,Avtoreferat,Oliy o‘quv yurtidan keyingi ta‘lim,52,0.0,20.07.2026
148033,Dialogning ilmiy ijodiy faoliyatga ta’siri va uni modellashtirishning falsafiy metodologik jihatlari.,Maxkamov Ulug‘bek Abdugapporovich,Falsafa,"Tadqiqotning maqsadi dialogning transformativ, kognitiv, germenevtik, 
aksiologik va pragmatik mexanizmlarining ilmiy-ijodiy faoliyatda yangilik 
yaratish, ma’no shakllantirish va bilimlar rekonstruksiyasini modellashtirishning 
universal metodologik omili sifatidagi falsafiy-metodologik jihatlari ochib berishdan iborat.",O'zbek,2026,https://api.ziyonet.uz/images/default/default_cover.png,https://library.ziyonet.uz/book/148033,https://api.ziyonet.uz/uploads/books/10012851/LrJZXNM15FDSySA.pdf,Avtoreferat,Oliy o‘quv yurtidan keyingi ta‘lim,52,0.0,20.07.2026
148032,Ўпканинг сурункали обструктив касаллиги қандли диабет билан коморбидликда кечганда буйраклар дисфункциясини баҳолаш.,Шокирова Гулнозахон Кадиржановна,Tibbiyot va farmasevtika,"Тадқиқотнинг мақсади. Ўпканинг сурункали обструктив касаллиги қандли диабет билан коморбидликда кечганда буйраклар функционал ҳолати 
ва каналчалар зарарланиши маркерлари билан Клото оқсили орасидаги 
боғлиқликни ўрганиш.",Rus,2026,https://api.ziyonet.uz/images/default/default_cover.png,https://library.ziyonet.uz/book/148032,https://api.ziyonet.uz/uploads/books/10012851/rnOAgnqjyTVYSFp.pdf,Avtoreferat,Oliy o‘quv yurtidan keyingi ta‘lim,52,0.0,20.07.2026
148031,COVID-19 билан оғриган кекса беморларда сурункали юрак етишмовчилиги ва бўлмачалар фибрилляциясининг клиник хусусиятлари ва даволаниш натижалари.,Авазбеков Бегижон Адхамжон ўғли,Tibbiyot va farmasevtika,"Тадқиқот мақсади. Кекса ёшли беморларда СЮЕ ва БФ COVID-19 ўтказган ва ўтказмаган ҳолларда клиник, инструментал ва биокимёвий 
кўрсаткичларини баҳолаш, уларнинг ўзаро боғлиқлигини аниқлаш ҳамда юқори хавф гуруҳларини ажратиб, индивидуал профилактика-реабилитация 
чораларини ишлаб чиқиш.",Rus,2026,https://api.ziyonet.uz/images/default/default_cover.png,https://library.ziyonet.uz/book/148031,https://api.ziyonet.uz/uploads/books/10012851/NsTEK1mShb5C9dA.pdf,Avtoreferat,Oliy o‘quv yurtidan keyingi ta‘lim,52,0.0,20.07.2026
148030,Xorazm shoirlari asarlari tilida intertekstuallik.,Sabirova Gulnoza Xidirbayevna,Filologiya,"Tadqiqotning maqsadi intertekstuallik hodisasining Xorazm she’riy 
matnlardagi rolini belgilash, Xorazm she’riy matnlarining mazmuniy idrokida 
intertekstuallikni yuzaga keltiruvchi til birliklarining o‘rnini ochib berishdan 
iborat.",O'zbek,2026,https://api.ziyonet.uz/images/default/default_cover.png,https://library.ziyonet.uz/book/148030,https://api.ziyonet.uz/uploads/books/10012851/0zJTjFx080wsSth.pdf,Avtoreferat,Oliy o‘quv yurtidan keyingi ta‘lim,52,0.0,20.07.2026
148029,Ingliz va o‘zbek tillarida fonologik/fonetik sath birliklari paradigmalarini shakllantirishda belgi gradatsiyasining voqelanishi.,Azimova Dilobarxon Berdiali qizi,Filologiya,"Tadqiqotning maqsadi hozirgi zamon ingliz va o‘zbek tillarida lisoniy belgi gradatsiyasining fonologik/fonetik sath birliklari paradigmalarini shakllantirishi 
jihatlarini ochib berishdan iborat.",O'zbek,2026,https://api.ziyonet.uz/images/default/default_cover.png,https://library.ziyonet.uz/book/148029,https://api.ziyonet.uz/uploads/books/10012851/5mf0JLMvao1N1PA.pdf,Avtoreferat,Oliy o‘quv yurtidan keyingi ta‘lim,52,0.0,20.07.2026
148028,Vertebrogen dorsalgiyalarni tashxislash va davolashda ultratovush tekshiruvining o‘rnini takomillashtirish.,Akilova Iparxan Galipovna,Tibbiyot va farmasevtika,"Tadqiqotning maqsadi — bel-dumg‘aza bo‘limi ultratovush tekshiruvining 
«qizil bayroqlar»siz vertebrogen dorsalgiyali bemorlarni yo‘naltirish algoritmidagi birlamchi diagnostik filtr sifatidagi rolini asoslash; bunda 
standartlashtirilgan polipozitsion protokol ishlab chiqish, uning diagnostik 
samaradorligini referens modallarga nisbatan valid qilish va klinik-sonografik 
stratifikatsiyani asoslash.",O'zbek,2026,https://api.ziyonet.uz/images/default/default_cover.png,https://library.ziyonet.uz/book/148028,https://api.ziyonet.uz/uploads/books/10012851/yijb4osTHmt1ZHN.pdf,Avtoreferat,Oliy o‘quv yurtidan keyingi ta‘lim,52,0.0,20.07.2026
148027,Tirik ipak qurti gʻumbagini jonsizlantirish va quritish uchun kombinatsiyalashgan qurilmani takomillashtirish.,Zulponov Shovqiddin Oʻrozalievich,Texnika va texnologiyalar,"Tadqiqotning maqsadi tirik ipak qurti g‘umbagini jonsizlantirish va quritish 
uchun kombinatsiyalashgan qurilmani takomillashtirishdan iborat.",O'zbek,2026,https://api.ziyonet.uz/images/default/default_cover.png,https://library.ziyonet.uz/book/148027,https://api.ziyonet.uz/uploads/books/10012851/iUk62xAMntx5pgU.pdf,Avtoreferat,Oliy o‘quv yurtidan keyingi ta‘lim,52,0.0,20.07.2026
